iterations,fitness,time,fevals
0,26.0,0.001784467,683
10,29.0,0.0030929,1253
20,32.0,0.004443534,1821
30,31.0,0.006541666,2402
40,33.0,0.011363563,2979
50,33.0,0.012957061,3554
60,34.0,0.014897478,4140
70,34.0,0.016444249,4720
80,37.0,0.018323801,5306
90,37.0,0.020078868,5877
100,36.0,0.023759086,6453
110,38.0,0.025369303,7031
120,37.0,0.027395959,7621
130,37.0,0.028902576,8195
140,37.0,0.030306263,8780
150,38.0,0.031820052,9365
160,37.0,0.0589818,9950
170,37.0,0.06274275,10531
180,37.0,0.067848957,11098
190,39.0,0.070223201,11679
200,37.0,0.073372446,12254
210,37.0,0.074880013,12824
220,37.0,0.097499795,13410
230,38.0,0.099170921,13979
240,37.0,0.100901218,14555
250,37.0,0.102688188,15137
260,38.0,0.106191717,15711
270,38.0,0.107522835,16291
280,40.0,0.109586136,16880
290,41.0,0.111191504,17456
300,41.0,0.113633436,18047
310,40.0,0.115828727,18627
320,41.0,0.117373365,19208
330,41.0,0.118597071,19789
340,41.0,0.120235114,20361
350,42.0,0.122939673,20951
360,41.0,0.128257949,21533
370,41.0,0.130264037,22105
380,42.0,0.132105495,22685
390,42.0,0.133200926,23267
400,40.0,0.134243716,23844
410,42.0,0.135237822,24411
420,40.0,0.136619642,24999
430,40.0,0.138046285,25578
440,40.0,0.146866514,26152
450,40.0,0.148068595,26741
460,41.0,0.149083408,27319
470,41.0,0.150421143,27893
480,41.0,0.152463731,28475
490,41.0,0.153948838,29065
500,41.0,0.155799741,29646
510,41.0,0.165261246,30231
520,42.0,0.166681614,30819
530,42.0,0.168240726,31394
540,41.0,0.169639025,31962
550,42.0,0.171938067,32550
560,42.0,0.173960806,33130
570,41.0,0.178794396,33705
580,41.0,0.18024135,34282
590,42.0,0.181570254,34855
600,41.0,0.183369784,35422
610,43.0,0.185090363,36007
620,42.0,0.18842128,36584
630,44.0,0.18994682,37157
640,43.0,0.191199158,37715
650,44.0,0.192407936,38298
660,44.0,0.193684782,38874
670,44.0,0.195013606,39445
680,44.0,0.196353184,40023
690,43.0,0.201432211,40610
700,43.0,0.202740651,41182
710,43.0,0.204476438,41760
720,43.0,0.206660578,42352
730,42.0,0.208172603,42928
740,44.0,0.20933338,43495
750,43.0,0.225307599,44072
760,44.0,0.228062732,44651
770,43.0,0.229638801,45241
780,43.0,0.231773165,45803
790,45.0,0.234159909,46375
800,45.0,0.236130789,46946
810,45.0,0.237416433,47534
820,45.0,0.238618605,48129
830,46.0,0.245825362,48706
840,45.0,0.246784848,49290
850,45.0,0.268708598,49870
860,45.0,0.273045863,50433
870,46.0,0.281651493,51004
880,46.0,0.286264164,51584
890,47.0,0.291008075,52149
900,46.0,0.29478735,52720
910,47.0,0.298311877,53301
920,45.0,0.302637117,53879
930,47.0,0.307985847,54461
940,46.0,0.309822523,55036
950,47.0,0.314672504,55609
960,46.0,0.31871496,56207
970,46.0,0.323819521,56786
980,45.0,0.327254436,57360
990,46.0,0.330639464,57922
1000,44.0,0.3352912,58493
1010,44.0,0.340181875,59063
1020,43.0,0.346250063,59636
1030,43.0,0.35024272,60206
1040,42.0,0.355888256,60790
1050,44.0,0.358807608,61373
1060,43.0,0.363247551,61956
1070,45.0,0.366643185,62544
1080,44.0,0.370656356,63110
1090,45.0,0.374782197,63687
1100,44.0,0.378087625,64255
1110,44.0,0.382029431,64840
1120,43.0,0.386132817,65423
1130,45.0,0.389734901,66006
1140,45.0,0.393497484,66583
1150,46.0,0.396780445,67170
1160,47.0,0.400667595,67742
1170,47.0,0.403809212,68306
1180,46.0,0.407127798,68889
1190,47.0,0.411122867,69462
1200,44.0,0.415294257,70028
1210,45.0,0.418883232,70614
1220,43.0,0.422562722,71195
1230,43.0,0.425749594,71767
1240,43.0,0.429576706,72327
1250,45.0,0.433477003,72912
1260,46.0,0.43676915,73489
1270,45.0,0.439426684,74065
1280,46.0,0.443222337,74644
1290,45.0,0.446378534,75231
1300,46.0,0.450543091,75822
1310,46.0,0.453287479,76399
1320,47.0,0.456771449,76963
1330,47.0,0.460398402,77537
1340,47.0,0.463441045,78110
1350,47.0,0.466745193,78669
1360,48.0,0.471475405,79250
1370,47.0,0.47470608,79826
1380,46.0,0.480048805,80399
1390,45.0,0.484274425,80979
1400,46.0,0.488246078,81554
1410,47.0,0.492705011,82130
1420,46.0,0.496305485,82708
1430,48.0,0.498300185,83275
1440,49.0,0.500590842,83847
1450,49.0,0.504298327,84414
1460,47.0,0.511852869,84997
1470,47.0,0.514937642,85591
1480,48.0,0.517915343,86173
