iterations,fitness,time,fevals
0,21.0,0.225838668,1000
10,33.0,0.414750882,2100
20,33.0,0.584434462,3200
30,32.0,0.725313035,4300
40,32.0,0.893672697,5400
50,36.0,1.06107334,6500
60,34.0,1.24049772,7600
70,33.0,1.418370515,8700
80,33.0,1.571884082,9800
90,32.0,1.723863006,10900
100,35.0,1.893675445,12000
110,34.0,2.058478807,13100
120,33.0,2.224141861,14200
130,32.0,2.398209055,15300
140,32.0,2.551156002,16400
150,33.0,2.699941876,17500
160,33.0,2.871043458,18600
170,32.0,3.022419063,19700
180,33.0,3.166186554,20800
190,36.0,3.321059437,21900
200,41.0,3.459858142,23000
210,34.0,3.591931287,24100
220,41.0,3.719410837,25200
230,41.0,3.867626281,26300
240,36.0,4.022588811,27400
250,35.0,4.182636269,28500
260,36.0,4.320446418,29600
270,42.0,4.472876936,30700
280,37.0,4.596129068,31800
290,36.0,4.753034797,32900
300,39.0,4.894618499,34000
310,36.0,5.051611938,35100
320,37.0,5.189042993,36200
330,47.0,5.347949815,37300
340,35.0,5.493722038,38400
350,39.0,5.632416614,39500
360,37.0,5.801761738,40600
370,37.0,5.941147729,41700
380,37.0,6.099375,42800
390,38.0,6.25201301,43900
400,40.0,6.438910452,45000
410,38.0,6.60448936,46100
420,37.0,6.734544259,47200
430,36.0,6.900083439,48300
440,41.0,7.039813301,49400
450,38.0,7.294353433,50500
460,39.0,7.507395533,51600
470,39.0,7.715542401,52700
480,45.0,7.91609206,53800
490,45.0,8.054351171,54900
500,40.0,8.211239961,56000
510,39.0,8.384592174,57100
520,40.0,8.574689017,58200
530,39.0,8.766013842,59300
540,40.0,8.925685191,60400
550,40.0,9.105405936,61500
560,39.0,9.239525932,62600
570,40.0,9.442179519,63700
580,40.0,9.657275862,64800
590,39.0,10.558467835,65900
600,40.0,10.767558786,67000
610,39.0,11.575103571,68100
620,40.0,11.77879074,69200
630,38.0,11.940136383,70300
640,39.0,12.140972336,71400
650,41.0,12.311964096,72500
660,38.0,12.484859083,73600
670,41.0,12.616777428,74700
680,40.0,12.786201946,75800
690,39.0,12.928853544,76900
700,39.0,13.078264536,78000
710,38.0,13.214649272,79100
720,40.0,13.367752597,80200
730,38.0,13.512706399,81300
740,38.0,13.68489306,82400
750,40.0,13.837512948,83500
760,40.0,14.077318705,84600
770,40.0,14.3121816,85700
780,40.0,14.466690861,86800
790,38.0,14.623824177,87900
800,38.0,14.807927096,89000
810,40.0,14.970786382,90100
820,39.0,15.135340879,91200
830,39.0,15.30557841,92300
840,39.0,15.480859324,93400
850,40.0,15.631561778,94500
860,39.0,15.785900102,95600
870,39.0,15.973337261,96700
880,39.0,16.123560294,97800
890,38.0,16.285104657,98900
900,40.0,16.429424922,100000
910,38.0,16.556493018,101100
920,40.0,16.704263811,102200
930,40.0,16.852509007,103300
940,39.0,17.027603611,104400
950,40.0,17.216790847,105500
960,42.0,17.37788648,106600
970,40.0,17.556479478,107700
980,39.0,17.735700263,108800
990,40.0,17.906766853,109900
1000,39.0,18.085122336,111000
1010,40.0,18.257367532,112100
1020,40.0,18.412635307,113200
1030,39.0,18.570139461,114300
1040,40.0,18.718510072,115400
1050,40.0,18.867737382,116500
1060,39.0,19.004645051,117600
1070,39.0,19.203549154,118700
1080,40.0,19.354054726,119800
1090,39.0,19.493813969,120900
1100,40.0,19.670635089,122000
1110,40.0,19.829382525,123100
1120,40.0,20.004789845,124200
1130,39.0,20.167973527,125300
1140,40.0,20.349856779,126400
1150,42.0,20.510638139,127500
1160,42.0,20.676453235,128600
1170,41.0,20.846748775,129700
1180,41.0,21.004002093,130800
1190,41.0,21.158530639,131900
1200,44.0,21.329922256,133000
1210,42.0,21.508499978,134100
1220,44.0,21.658125472,135200
1230,41.0,21.822999686,136300
1240,41.0,21.981767789,137400
1250,43.0,22.131184037,138500
1260,41.0,22.285306041,139600
1270,41.0,22.492527943,140700
1280,40.0,22.644373645,141800
1290,41.0,22.806920972,142900
1300,42.0,22.957135053,144000
1310,41.0,23.122246223,145100
1320,41.0,23.267863978,146200
1330,40.0,23.39926746,147300
1340,43.0,23.568634253,148400
1350,43.0,23.741967828,149500
1360,41.0,23.895012726,150600
1370,41.0,24.057402646,151700
1380,41.0,24.220197362,152800
1390,42.0,24.36087499,153900
1400,40.0,24.50662134,155000
1410,40.0,24.669805168,156100
1420,42.0,24.805074736,157200
1430,41.0,24.943653493,158300
1440,40.0,25.12117486,159400
1450,42.0,25.273327189,160500
1460,45.0,25.402188544,161600
1470,47.0,25.563322992,162700
1480,43.0,25.714881524,163800
1490,43.0,25.889573384,164900
1500,46.0,26.038681923,166000
1510,46.0,26.169027983,167100
1520,48.0,26.297663764,168200
