iterations,fitness,time,fevals
0,16.0,0.000283529,11
10,16.0,0.001208909,21
20,16.0,0.001444035,31
30,17.0,0.001632908,41
40,17.0,0.001771251,51
50,17.0,0.001889145,61
60,17.0,0.002099973,71
70,17.0,0.002448491,81
80,17.0,0.002522077,91
90,17.0,0.00266363,101
100,17.0,0.002758461,111
110,17.0,0.00283064,121
120,17.0,0.002932718,131
130,17.0,0.003086044,141
140,17.0,0.003189137,151
150,17.0,0.003296115,161
160,17.0,0.003443203,171
170,17.0,0.003509905,181
180,17.0,0.003609177,191
190,17.0,0.003684086,201
200,17.0,0.00382678,211
210,18.0,0.003903502,221
220,18.0,0.004306721,231
230,18.0,0.004444622,241
240,18.0,0.004499844,251
250,18.0,0.004635923,261
260,18.0,0.004698868,271
270,18.0,0.00478151,281
280,18.0,0.004846213,291
290,20.0,0.004915429,301
300,21.0,0.005158797,311
310,21.0,0.005280303,321
320,21.0,0.005352857,331
330,21.0,0.005601348,341
340,22.0,0.005877155,351
350,23.0,0.005977375,361
360,23.0,0.006054977,371
370,23.0,0.007280633,381
380,23.0,0.00731414,391
390,23.0,0.007345219,401
400,23.0,0.007379529,411
410,23.0,0.007421912,421
420,23.0,0.007459112,431
430,23.0,0.007490256,441
440,23.0,0.00751831,451
450,24.0,0.007545566,461
460,24.0,0.007575061,471
470,24.0,0.00760953,481
480,24.0,0.007640215,491
490,24.0,0.007667376,501
500,24.0,0.007696427,511
510,24.0,0.007737955,521
520,24.0,0.007767066,531
530,24.0,0.007796273,541
540,24.0,0.007825671,551
550,24.0,0.007853108,561
560,24.0,0.007883643,571
570,24.0,0.007914538,581
580,24.0,0.007945167,591
590,24.0,0.007974111,601
600,24.0,0.00800264,611
610,24.0,0.008031216,621
620,24.0,0.008061861,631
630,24.0,0.008091121,641
640,24.0,0.008119645,651
650,24.0,0.008149525,661
660,24.0,0.008271943,671
670,25.0,0.008300038,681
680,25.0,0.008382545,691
690,25.0,0.008471861,701
700,29.0,0.008715123,711
710,29.0,0.008806196,721
720,29.0,0.00897367,731
730,29.0,0.009094232,741
740,29.0,0.009359911,751
750,29.0,0.009509216,761
760,29.0,0.009685099,771
770,29.0,0.0097542,781
780,29.0,0.009942376,791
790,29.0,0.010056661,801
800,29.0,0.010190115,811
810,29.0,0.010496325,821
820,29.0,0.010804616,831
830,29.0,0.010863516,841
840,29.0,0.010933339,851
850,29.0,0.011054284,861
860,29.0,0.011122151,871
870,29.0,0.011255447,881
880,29.0,0.011588969,891
890,29.0,0.012062441,901
900,29.0,0.012128043,911
910,29.0,0.012342466,921
920,29.0,0.012450899,931
930,29.0,0.012619402,941
940,29.0,0.012835486,951
950,29.0,0.013147292,961
960,29.0,0.013360208,971
970,29.0,0.013531114,981
980,29.0,0.013574231,991
990,29.0,0.013603029,1001
1000,29.0,0.013630784,1011
1010,29.0,0.013811157,1021
1020,29.0,0.013843236,1031
1030,29.0,0.013872944,1041
1040,29.0,0.013900935,1051
1050,29.0,0.013934644,1061
1060,29.0,0.013959704,1071
1070,29.0,0.013984446,1081
1080,30.0,0.014011923,1091
1090,30.0,0.014038926,1101
1100,30.0,0.014066887,1111
1110,30.0,0.021860727,1121
1120,30.0,0.021877049,1131
1130,30.0,0.021895033,1141
1140,30.0,0.021915457,1151
1150,30.0,0.021934426,1161
1160,30.0,0.021953079,1171
1170,30.0,0.021973357,1181
1180,30.0,0.021988933,1191
1190,30.0,0.022006096,1201
1200,30.0,0.022022751,1211
1210,30.0,0.0220415,1221
1220,30.0,0.022060811,1231
1230,30.0,0.022079344,1241
1240,30.0,0.022102432,1251
1250,30.0,0.02212531,1261
1260,30.0,0.022145274,1271
1270,30.0,0.022166324,1281
1280,30.0,0.022184777,1291
1290,30.0,0.022203546,1301
1300,31.0,0.022222915,1311
1310,31.0,0.022241859,1321
1320,31.0,0.022260257,1331
1330,31.0,0.022282266,1341
1340,31.0,0.022306885,1351
1350,31.0,0.022327981,1361
1360,31.0,0.022349317,1371
1370,31.0,0.022371603,1381
1380,32.0,0.022389857,1391
1390,32.0,0.022411667,1401
1400,32.0,0.022429559,1411
1410,32.0,0.022451143,1421
1420,32.0,0.02247027,1431
1430,32.0,0.02248601,1441
1440,32.0,0.022504821,1451
1450,32.0,0.022527281,1461
1460,32.0,0.022547177,1471
1470,32.0,0.022567368,1481
1480,32.0,0.022586438,1491
1490,32.0,0.022604778,1501
1500,32.0,0.022623879,1511
1510,32.0,0.022644863,1521
1520,32.0,0.022666821,1531
1530,32.0,0.022688803,1541
1540,32.0,0.022710439,1551
1550,32.0,0.022731453,1561
1560,33.0,0.022753132,1571
1570,33.0,0.022774367,1581
1580,33.0,0.022795349,1591
1590,33.0,0.022817026,1601
1600,33.0,0.0228385,1611
1610,34.0,0.022857597,1621
1620,34.0,0.022879932,1631
1630,34.0,0.022899107,1641
1640,34.0,0.022923524,1651
1650,34.0,0.022941671,1661
1660,34.0,0.022960778,1671
1670,34.0,0.022982196,1681
1680,35.0,0.023001508,1691
1690,35.0,0.023021856,1701
1700,35.0,0.023045173,1711
1710,35.0,0.023069269,1721
1720,35.0,0.023091169,1731
1730,35.0,0.023110375,1741
