iterations,fitness,time,fevals
0,13.0,3.04799999999e-05,11
10,14.0,5.51609999999e-05,21
20,14.0,8.74209999999e-05,31
30,15.0,0.000113112,41
40,16.0,0.000146117,51
50,16.0,0.000169736,61
60,16.0,0.000199361,71
70,16.0,0.000223003,81
80,16.0,0.000247598,91
90,16.0,0.000270396,101
100,16.0,0.000292698,111
110,16.0,0.000313892,121
120,16.0,0.000339281,131
130,16.0,0.000361533,141
140,17.0,0.000386125,151
150,17.0,0.000410884,161
160,18.0,0.000432413,171
170,19.0,0.000455136,181
180,20.0,0.000478076,191
190,20.0,0.000499061,201
200,20.0,0.000522892,211
210,21.0,0.000547732,221
220,21.0,0.000574884,231
230,21.0,0.000598799,241
240,21.0,0.0006239,251
250,21.0,0.000644762,261
260,24.0,0.000669666,271
270,24.0,0.000696685,281
280,24.0,0.000722445,291
290,24.0,0.000750517,301
300,25.0,0.000776507,311
310,25.0,0.000800162,321
320,25.0,0.000826673,331
330,25.0,0.000848503,341
340,25.0,0.00087132,351
350,25.0,0.000890457,361
360,25.0,0.000932154,371
370,26.0,0.000953672,381
380,26.0,0.000981205,391
390,26.0,0.001003483,401
400,26.0,0.00102508,411
410,27.0,0.001045369,421
420,27.0,0.001071864,431
430,27.0,0.001095015,441
440,27.0,0.00112042,451
450,27.0,0.001143323,461
460,28.0,0.001164194,471
470,30.0,0.001184918,481
480,30.0,0.001209304,491
490,30.0,0.001233453,501
500,30.0,0.001254113,511
510,30.0,0.001282336,521
520,30.0,0.001309079,531
530,30.0,0.001334556,541
540,30.0,0.001354835,551
550,30.0,0.001378918,561
560,30.0,0.001400999,571
570,30.0,0.00142445,581
580,30.0,0.001539557,591
590,30.0,0.001606315,601
600,30.0,0.001637327,611
610,30.0,0.00167201,621
620,30.0,0.001698882,631
630,31.0,0.001719845,641
640,31.0,0.001741832,651
650,33.0,0.001823992,661
660,33.0,0.001845269,671
670,33.0,0.001925927,681
680,33.0,0.001945594,691
690,33.0,0.001967057,701
700,33.0,0.002027018,711
710,33.0,0.002054115,721
720,33.0,0.002078617,731
730,33.0,0.00210038,741
740,33.0,0.002121021,751
750,33.0,0.002142923,761
760,33.0,0.002168478,771
770,33.0,0.00218848,781
780,33.0,0.002209857,791
790,33.0,0.002232174,801
800,33.0,0.002253716,811
810,33.0,0.002278293,821
820,33.0,0.0022996,831
