iterations,fitness,time,fevals
0,531.0,0.022861621,644
10,537.0,0.034785155,1198
20,535.0,0.050363003,1743
30,540.0,0.06227426,2292
40,530.0,0.068030907,2840
50,536.0,0.073307471,3383
60,534.0,0.084534641,3930
70,538.0,0.089280341,4483
80,544.0,0.095115489,5036
90,538.0,0.100267996,5586
100,544.0,0.106274688,6132
110,544.0,0.112797545,6679
120,548.0,0.119489539,7221
130,550.0,0.125988359,7775
140,552.0,0.13237325,8316
150,556.0,0.137750568,8861
160,558.0,0.143352674,9409
170,558.0,0.147835607,9957
180,554.0,0.151978722,10495
190,554.0,0.162004165,11031
200,554.0,0.167155056,11583
210,556.0,0.173315219,12134
220,554.0,0.177909154,12682
230,558.0,0.184228893,13228
240,558.0,0.190138776,13782
250,558.0,0.19556716,14331
260,558.0,0.205505761,14879
270,560.0,0.210875358,15430
280,560.0,0.224620404,15975
290,558.0,0.229324098,16519
300,558.0,0.235306364,17061
310,560.0,0.240407639,17603
320,560.0,0.25106763,18151
330,562.0,0.260454874,18700
340,560.0,0.277849459,19259
350,560.0,0.284118498,19808
360,558.0,0.288118005,20358
370,560.0,0.301824138,20910
380,558.0,0.312581481,21462
390,562.0,0.317842804,22017
400,558.0,0.322549952,22567
410,558.0,0.327301792,23117
420,560.0,0.336161973,23663
430,562.0,0.341471648,24217
440,560.0,0.352189723,24766
450,560.0,0.358834173,25309
460,558.0,0.363334099,25855
470,562.0,0.368003302,26400
480,560.0,0.378377717,26947
490,560.0,0.38387865,27490
500,562.0,0.388657589,28043
510,562.0,0.392653357,28584
520,564.0,0.396341743,29134
530,564.0,0.402184858,29676
540,562.0,0.405752746,30218
550,561.0,0.409838373,30762
560,563.0,0.41516279,31316
570,562.0,0.421816448,31860
580,559.0,0.429167406,32405
590,561.0,0.438173823,32952
600,560.0,0.444857278,33503
610,561.0,0.454545986,34053
620,562.0,0.459966154,34599
630,560.0,0.463975317,35144
640,560.0,0.478529818,35695
650,560.0,0.483854017,36250
660,558.0,0.48854707,36799
670,558.0,0.493058056,37353
680,558.0,0.497171898,37903
690,558.0,0.503241205,38454
700,558.0,0.507071612,39003
710,560.0,0.511662537,39552
720,560.0,0.515576511,40094
730,558.0,0.527350398,40644
740,560.0,0.533443923,41195
750,560.0,0.539425812,41751
760,562.0,0.543954237,42301
770,564.0,0.548910539,42846
780,562.0,0.559342223,43398
790,560.0,0.56429362,43938
800,562.0,0.576346176,44487
810,560.0,0.583806058,45036
820,562.0,0.590230968,45592
830,560.0,0.604856685,46137
840,560.0,0.609276616,46686
850,558.0,0.614260077,47245
860,562.0,0.621093508,47801
870,562.0,0.631199678,48348
880,560.0,0.637868424,48895
890,556.0,0.643212522,49445
900,556.0,0.649070128,49986
910,554.0,0.653576384,50541
920,556.0,0.658206409,51091
930,558.0,0.668615305,51641
940,560.0,0.673849918,52194
950,558.0,0.679052113,52738
960,558.0,0.685598589,53286
970,556.0,0.697645193,53832
980,556.0,0.701808542,54380
990,558.0,0.706434217,54934
1000,558.0,0.716311012,55485
1010,558.0,0.719410124,56024
1020,558.0,0.722989661,56573
1030,558.0,0.72687084,57115
1040,558.0,0.742527037,57667
1050,560.0,0.749092782,58207
1060,560.0,0.756412152,58749
1070,556.0,0.760288716,59305
1080,558.0,0.779330889,59868
1090,558.0,0.784513242,60423
1100,558.0,0.788946976,60965
1110,558.0,0.796331198,61513
1120,558.0,0.802094164,62068
1130,558.0,0.811629089,62608
1140,558.0,0.819083363,63161
1150,560.0,0.825142446,63711
1160,562.0,0.829617182,64257
1170,560.0,0.841311312,64801
1180,560.0,0.846249512,65348
1190,562.0,0.851727929,65904
1200,562.0,0.856820438,66451
1210,558.0,0.875135339,66995
1220,560.0,0.881519925,67542
1230,562.0,0.886727108,68090
1240,562.0,0.891873891,68636
1250,562.0,0.896581514,69181
1260,560.0,0.9020615,69726
1270,562.0,0.909293272,70271
