iterations,fitness,time,fevals
0,571.0,25.421318493,1000
10,606.0,52.875450334,2100
20,661.0,77.712387592,3200
30,706.0,99.255854648,4300
40,727.0,120.854776421,5400
50,734.0,140.42293594,6500
60,740.0,158.841253907,7600
70,740.0,178.215387111,8700
80,742.0,198.919491168,9800
90,742.0,218.546293521,10900
100,742.0,238.540144349,12000
110,742.0,255.546231265,13100
120,742.0,273.121516603,14200
130,740.0,290.80828579,15300
140,742.0,308.386621262,16400
150,740.0,325.721890178,17500
160,740.0,342.965149848,18600
170,742.0,360.469639475,19700
180,742.0,377.823588646,20800
190,742.0,395.71294308,21900
200,744.0,413.928753839,23000
210,742.0,431.486197932,24100
220,742.0,449.173027638,25200
230,742.0,466.80813816,26300
240,742.0,483.679025755,27400
250,744.0,500.847872411,28500
260,742.0,518.402772338,29600
270,744.0,535.333283402,30700
280,742.0,552.689114882,31800
290,744.0,569.517535022,32900
300,742.0,586.397718138,34000
310,742.0,603.504558497,35100
320,742.0,620.55323784,36200
330,742.0,638.080639636,37300
340,742.0,659.070258093,38400
350,744.0,677.452016307,39500
360,744.0,694.416683613,40600
370,742.0,711.382318899,41700
380,740.0,728.43614062,42800
390,742.0,745.517785276,43900
400,742.0,763.074401409,45000
410,742.0,780.465406554,46100
420,740.0,797.708221739,47200
430,742.0,814.884768236,48300
440,742.0,832.08212465,49400
450,742.0,850.230486873,50500
460,742.0,867.575550962,51600
470,742.0,884.848191364,52700
480,742.0,901.447469696,53800
490,744.0,918.838963966,54900
500,742.0,936.450311939,56000
510,742.0,953.846409484,57100
520,740.0,971.027936381,58200
530,744.0,992.181319667,59300
540,742.0,1011.40011553,60400
550,744.0,1029.3687612,61500
560,742.0,1049.62296036,62600
570,742.0,1068.03848971,63700
580,742.0,1085.44877809,64800
590,742.0,1102.61461438,65900
600,742.0,1121.98515519,67000
610,744.0,1139.998599,68100
620,740.0,1159.85739419,69200
630,744.0,1182.52644388,70300
640,742.0,1199.63966242,71400
650,742.0,1217.68877075,72500
660,742.0,1234.80542018,73600
670,742.0,1252.10100003,74700
680,742.0,1269.62428551,75800
690,742.0,1286.65218194,76900
700,744.0,1304.43044539,78000
710,742.0,1321.53453388,79100
720,746.0,1338.88142125,80200
730,742.0,1357.15451527,81300
740,742.0,1374.16352987,82400
750,742.0,1391.74612205,83500
760,744.0,1410.9407562,84600
770,742.0,1428.34585362,85700
780,742.0,1449.63596414,86800
790,742.0,1467.57777802,87900
800,742.0,1485.22274685,89000
810,744.0,1502.59441391,90100
820,742.0,1520.05781203,91200
830,742.0,1537.36527272,92300
840,744.0,1556.42156188,93400
850,740.0,1573.7969646,94500
860,742.0,1591.27363283,95600
870,744.0,1609.21231449,96700
880,742.0,1626.85501378,97800
890,742.0,1644.64431988,98900
900,742.0,1662.26979293,100000
910,742.0,1680.93425125,101100
920,742.0,1699.22871964,102200
930,742.0,1718.22839172,103300
940,742.0,1736.33088907,104400
950,742.0,1754.74310425,105500
960,742.0,1774.54938611,106600
970,742.0,1793.98927696,107700
980,740.0,1818.25070323,108800
990,742.0,1837.58433163,109900
1000,742.0,1857.97369313,111000
1010,740.0,1878.9277082,112100
1020,744.0,1896.56865772,113200
1030,742.0,1916.03090101,114300
1040,744.0,1934.9416398,115400
1050,740.0,1951.77895854,116500
1060,740.0,1969.87583583,117600
1070,742.0,1988.07584432,118700
1080,742.0,2005.49981611,119800
1090,742.0,2023.46158167,120900
1100,742.0,2043.93801421,122000
1110,742.0,2061.10958757,123100
1120,742.0,2078.10898398,124200
1130,742.0,2095.68613057,125300
1140,742.0,2112.9678029,126400
1150,742.0,2130.01899052,127500
1160,742.0,2147.70399639,128600
1170,742.0,2166.67439497,129700
1180,740.0,2183.75871294,130800
1190,742.0,2200.45310345,131900
1200,744.0,2217.42827423,133000
1210,744.0,2234.82007468,134100
1220,742.0,2251.78731366,135200
1230,742.0,2269.35883386,136300
1240,742.0,2286.28255712,137400
1250,740.0,2303.38021424,138500
1260,744.0,2320.08080275,139600
1270,742.0,2336.29093781,140700
1280,742.0,2352.84151623,141800
1290,742.0,2369.65609149,142900
1300,740.0,2389.82376763,144000
1310,742.0,2406.93099889,145100
1320,742.0,2423.27626298,146200
1330,742.0,2440.52180285,147300
1340,742.0,2457.34853492,148400
1350,744.0,2474.30109897,149500
1360,740.0,2493.44399026,150600
1370,744.0,2510.34314222,151700
1380,740.0,2527.45144194,152800
1390,742.0,2544.07307091,153900
