iterations,fitness,time,fevals
0,492.0,0.001815465,11
10,492.0,0.00351771,21
20,494.0,0.005790352,31
30,496.0,0.007648329,41
40,498.0,0.010442654,51
50,502.0,0.011920477,61
60,502.0,0.013181684,71
70,506.0,0.014786635,81
80,508.0,0.016250945,91
90,508.0,0.017327889,101
100,510.0,0.018547488,111
110,514.0,0.019733395,121
120,520.0,0.021343114,131
130,524.0,0.022152781,141
140,526.0,0.022738736,151
150,528.0,0.024251702,161
160,528.0,0.024449055,171
170,532.0,0.024576521,181
180,532.0,0.024673904,191
190,534.0,0.024789893,201
200,534.0,0.02488371,211
210,536.0,0.024997928,221
220,538.0,0.025105467,231
230,538.0,0.025217055,241
240,538.0,0.025600085,251
250,538.0,0.025739671,261
260,540.0,0.025830393,271
270,548.0,0.025930541,281
280,550.0,0.02615263,291
290,552.0,0.026331596,301
300,552.0,0.026439377,311
310,556.0,0.026572471,321
320,558.0,0.026677548,331
330,560.0,0.026799087,341
340,564.0,0.026982688,351
350,568.0,0.027097591,361
360,572.0,0.027190866,371
370,572.0,0.027302214,381
380,572.0,0.027414886,391
390,572.0,0.027516857,401
400,572.0,0.027627008,411
410,572.0,0.027761622,421
420,572.0,0.027867924,431
430,572.0,0.027977144,441
440,580.0,0.028068349,451
450,584.0,0.028209025,461
460,586.0,0.028332676,471
470,586.0,0.028443577,481
480,588.0,0.028556827,491
490,590.0,0.028661927,501
500,592.0,0.028763856,511
510,594.0,0.028855272,521
520,594.0,0.028958934,531
530,600.0,0.029058227,541
540,600.0,0.029195265,551
550,602.0,0.029308184,561
560,602.0,0.029403115,571
570,606.0,0.029516431,581
580,608.0,0.029633211,591
590,608.0,0.02976042,601
600,610.0,0.029889567,611
610,610.0,0.029991655,621
620,612.0,0.030098415,631
630,614.0,0.030205411,641
640,616.0,0.030298472,651
650,616.0,0.030400626,661
660,618.0,0.03052972,671
670,618.0,0.030670462,681
680,618.0,0.030908684,691
690,618.0,0.031056803,701
700,620.0,0.031162718,711
710,624.0,0.03125913,721
720,624.0,0.031344453,731
730,628.0,0.031441884,741
740,628.0,0.031545174,751
750,628.0,0.031664446,761
760,630.0,0.031804358,771
770,632.0,0.031919567,781
780,632.0,0.032006635,791
790,634.0,0.032148755,801
800,634.0,0.032250691,811
810,634.0,0.032351463,821
820,636.0,0.032432689,831
830,636.0,0.03251746,841
840,636.0,0.032607649,851
850,636.0,0.032713939,861
860,642.0,0.03282216,871
870,644.0,0.033042945,881
880,644.0,0.033163858,891
890,648.0,0.033285297,901
900,648.0,0.033373802,911
910,648.0,0.033471163,921
920,648.0,0.033569851,931
930,648.0,0.033673881,941
940,648.0,0.033780348,951
950,650.0,0.033866156,961
960,652.0,0.033969771,971
970,656.0,0.034120539,981
980,656.0,0.034242863,991
990,656.0,0.034281905,1001
1000,658.0,0.034314729,1011
1010,658.0,0.034349499,1021
1020,660.0,0.0344196,1031
1030,660.0,0.034450621,1041
1040,662.0,0.034489555,1051
1050,662.0,0.034520745,1061
1060,662.0,0.034548419,1071
1070,662.0,0.034576915,1081
1080,664.0,0.034742542,1091
1090,670.0,0.034789527,1101
1100,670.0,0.034832126,1111
1110,672.0,0.034863594,1121
1120,672.0,0.034900176,1131
1130,674.0,0.034930429,1141
1140,678.0,0.034961902,1151
1150,680.0,0.035001704,1161
1160,680.0,0.035039932,1171
1170,682.0,0.035092286,1181
1180,682.0,0.035123164,1191
1190,684.0,0.035154081,1201
1200,684.0,0.035207206,1211
1210,684.0,0.035244508,1221
1220,684.0,0.035275411,1231
1230,684.0,0.035312856,1241
1240,686.0,0.035342872,1251
1250,686.0,0.03537231,1261
1260,686.0,0.035411135,1271
1270,686.0,0.035442339,1281
1280,686.0,0.035481092,1291
1290,686.0,0.035520469,1301
1300,686.0,0.03555082,1311
1310,686.0,0.035590766,1321
1320,686.0,0.035620661,1331
1330,686.0,0.03565177,1341
1340,688.0,0.035685971,1351
1350,688.0,0.035715173,1361
1360,688.0,0.035744719,1371
1370,692.0,0.035774236,1381
1380,692.0,0.035811951,1391
1390,692.0,0.035844852,1401
1400,692.0,0.035899626,1411
1410,692.0,0.035961269,1421
1420,692.0,0.035998016,1431
1430,692.0,0.036028113,1441
1440,692.0,0.036066304,1451
1450,694.0,0.036097851,1461
1460,694.0,0.036192684,1471
1470,694.0,0.036226339,1481
1480,694.0,0.03634122,1491
1490,694.0,0.036380125,1501
1500,694.0,0.036418548,1511
1510,694.0,0.036452608,1521
1520,694.0,0.036494714,1531
1530,694.0,0.03653285,1541
1540,694.0,0.036571377,1551
1550,694.0,0.036608006,1561
1560,694.0,0.036640029,1571
1570,696.0,0.036673978,1581
1580,696.0,0.036706327,1591
1590,696.0,0.036740204,1601
1600,696.0,0.036784697,1611
1610,696.0,0.036815979,1621
1620,696.0,0.036854761,1631
1630,698.0,0.036925127,1641
