iterations,fitness,time,fevals
0,514.0,0.000105852,11
10,514.0,0.000263732,21
20,518.0,0.000358752,31
30,520.0,0.000452562,41
40,522.0,0.000482186,51
50,522.0,0.000509275,61
60,524.0,0.000534848,71
70,528.0,0.000559688,81
80,530.0,0.000591364,91
90,532.0,0.000618079,101
100,536.0,0.000643068,111
110,538.0,0.000676275,121
120,542.0,0.000699899,131
130,544.0,0.000765686,141
140,544.0,0.000798308,151
150,544.0,0.000830142,161
160,546.0,0.000859674,171
170,548.0,0.000901228,181
180,550.0,0.000931393,191
190,554.0,0.000963543,201
200,556.0,0.001008737,211
210,556.0,0.001036218,221
220,558.0,0.001061078,231
230,564.0,0.001087168,241
240,564.0,0.001114825,251
250,568.0,0.001141344,261
260,570.0,0.001176696,271
270,572.0,0.001224094,281
280,572.0,0.001261143,291
290,572.0,0.001293147,301
300,574.0,0.001319932,311
310,578.0,0.001349021,321
320,578.0,0.001377285,331
330,584.0,0.001414264,341
340,584.0,0.001448849,351
350,584.0,0.001489694,361
360,586.0,0.001566185,371
370,588.0,0.001621117,381
380,590.0,0.001775954,391
390,590.0,0.00186164,401
400,590.0,0.001917633,411
410,592.0,0.001975805,421
420,592.0,0.00203304,431
430,594.0,0.002079054,441
440,598.0,0.002130939,451
450,600.0,0.002181988,461
460,602.0,0.002235075,471
470,602.0,0.002314418,481
480,606.0,0.002386792,491
490,606.0,0.002452054,501
500,608.0,0.00250982,511
510,608.0,0.002581117,521
520,612.0,0.00262176,531
530,612.0,0.002660429,541
540,614.0,0.002701703,551
550,614.0,0.002739372,561
560,616.0,0.002787453,571
570,618.0,0.002824215,581
580,620.0,0.002859821,591
590,620.0,0.002899716,601
600,620.0,0.002933542,611
610,620.0,0.002969905,621
620,620.0,0.002996076,631
630,620.0,0.003020919,641
640,622.0,0.003060365,651
650,622.0,0.003084951,661
660,622.0,0.003111919,671
670,622.0,0.003138338,681
680,622.0,0.003167755,691
690,624.0,0.003195072,701
700,624.0,0.00322451,711
710,626.0,0.003251533,721
720,626.0,0.003285579,731
730,628.0,0.00332592,741
740,628.0,0.003355808,751
750,628.0,0.003389463,761
760,628.0,0.003432882,771
770,630.0,0.003485277,781
780,630.0,0.003514023,791
790,630.0,0.003543309,801
800,630.0,0.003582594,811
810,632.0,0.003614495,821
820,632.0,0.003643013,831
830,634.0,0.003673045,841
840,634.0,0.003701288,851
850,634.0,0.00373599,861
860,636.0,0.003780101,871
870,636.0,0.003806125,881
880,636.0,0.003830655,891
890,636.0,0.003855453,901
900,638.0,0.003878658,911
910,640.0,0.003919292,921
920,640.0,0.003945823,931
930,640.0,0.003970662,941
940,640.0,0.003995624,951
950,642.0,0.004022009,961
960,646.0,0.004050227,971
970,646.0,0.00407526,981
980,646.0,0.004099961,991
990,646.0,0.004137243,1001
1000,648.0,0.004162583,1011
1010,648.0,0.004190145,1021
1020,652.0,0.004215255,1031
1030,652.0,0.004241198,1041
1040,654.0,0.004275933,1051
1050,654.0,0.004302611,1061
1060,654.0,0.00432917,1071
1070,654.0,0.004362036,1081
1080,654.0,0.004390935,1091
1090,656.0,0.004428691,1101
1100,658.0,0.004463417,1111
1110,658.0,0.004490362,1121
1120,658.0,0.004528115,1131
1130,660.0,0.004567484,1141
1140,662.0,0.004594148,1151
1150,662.0,0.004675185,1161
1160,664.0,0.004727325,1171
1170,666.0,0.004754383,1181
1180,666.0,0.004780477,1191
1190,668.0,0.004807827,1201
1200,670.0,0.004856425,1211
1210,674.0,0.004884615,1221
1220,674.0,0.004909484,1231
1230,674.0,0.004934176,1241
1240,674.0,0.004958376,1251
1250,676.0,0.004995832,1261
1260,678.0,0.005030187,1271
1270,684.0,0.005060165,1281
1280,684.0,0.005087653,1291
1290,684.0,0.005209843,1301
1300,684.0,0.005273006,1311
1310,684.0,0.005321167,1321
1320,684.0,0.005360004,1331
1330,684.0,0.005387956,1341
1340,684.0,0.005427337,1351
1350,684.0,0.005454826,1361
1360,684.0,0.005508799,1371
1370,684.0,0.005538544,1381
1380,684.0,0.005569353,1391
1390,684.0,0.005597647,1401
1400,684.0,0.005624767,1411
1410,684.0,0.0056727,1421
1420,684.0,0.005707863,1431
1430,684.0,0.005747705,1441
1440,686.0,0.005780138,1451
1450,686.0,0.005814082,1461
1460,686.0,0.005839721,1471
1470,688.0,0.005865927,1481
1480,688.0,0.005903957,1491
1490,688.0,0.005945101,1501
1500,688.0,0.005970213,1511
1510,688.0,0.005995497,1521
1520,688.0,0.006030986,1531
1530,688.0,0.006063601,1541
1540,688.0,0.006090049,1551
1550,688.0,0.006119308,1561
1560,688.0,0.00615177,1571
1570,688.0,0.006176896,1581
1580,688.0,0.006204937,1591
1590,688.0,0.006231955,1601
1600,690.0,0.006258398,1611
1610,690.0,0.006284209,1621
1620,692.0,0.006309015,1631
1630,692.0,0.006338282,1641
1640,692.0,0.006370079,1651
1650,692.0,0.006397845,1661
1660,692.0,0.006424254,1671
1670,692.0,0.006452605,1681
1680,692.0,0.006479671,1691
1690,692.0,0.00651026,1701
1700,692.0,0.006542423,1711
1710,694.0,0.006568679,1721
1720,698.0,0.006592614,1731
1730,698.0,0.00661699,1741
1740,698.0,0.006642631,1751
1750,700.0,0.006672506,1761
1760,700.0,0.006698662,1771
1770,700.0,0.006722796,1781
1780,700.0,0.006755933,1791
1790,700.0,0.006789523,1801
1800,700.0,0.006821315,1811
1810,700.0,0.006848552,1821
1820,700.0,0.006880342,1831
1830,700.0,0.006905624,1841
1840,700.0,0.006929881,1851
1850,700.0,0.006959075,1861
1860,700.0,0.006985011,1871
1870,700.0,0.007012811,1881
1880,700.0,0.007039262,1891
1890,700.0,0.007066973,1901
1900,700.0,0.007129191,1911
1910,702.0,0.007164728,1921
1920,704.0,0.007194048,1931
1930,704.0,0.007221262,1941
1940,706.0,0.007245567,1951
1950,706.0,0.007269549,1961
1960,706.0,0.007297661,1971
1970,708.0,0.007330943,1981
1980,708.0,0.007358234,1991
1990,708.0,0.007383051,2001
2000,710.0,0.007407988,2011
2010,712.0,0.007440532,2021
2020,712.0,0.007466763,2031
2030,712.0,0.007495023,2041
2040,712.0,0.007525134,2051
2050,714.0,0.007551589,2061
2060,714.0,0.007586332,2071
2070,716.0,0.007616647,2081
2080,718.0,0.007647728,2091
2090,722.0,0.007673609,2101
2100,722.0,0.007706463,2111
2110,722.0,0.007741068,2121
2120,724.0,0.007771083,2131
2130,724.0,0.007804312,2141
2140,724.0,0.007832301,2151
2150,724.0,0.007857517,2161
2160,724.0,0.007900453,2171
2170,726.0,0.007935458,2181
2180,726.0,0.007969172,2191
2190,728.0,0.008000997,2201
2200,728.0,0.008026263,2211
2210,728.0,0.008052046,2221
2220,728.0,0.008078892,2231
2230,730.0,0.008121879,2241
2240,730.0,0.008151707,2251
2250,730.0,0.008212146,2261
2260,730.0,0.008248179,2271
2270,730.0,0.008280447,2281
2280,734.0,0.008306197,2291
2290,734.0,0.008332095,2301
2300,736.0,0.008356963,2311
2310,736.0,0.008381269,2321
2320,738.0,0.008429099,2331
2330,738.0,0.008470782,2341
2340,738.0,0.008505894,2351
2350,738.0,0.00854163,2361
2360,740.0,0.008589853,2371
2370,740.0,0.008631762,2381
2380,740.0,0.008668216,2391
2390,740.0,0.008699017,2401
2400,740.0,0.008729013,2411
2410,742.0,0.008762397,2421
2420,742.0,0.008801196,2431
2430,742.0,0.008852293,2441
2440,742.0,0.008887288,2451
2450,742.0,0.008924407,2461
2460,742.0,0.008959714,2471
2470,742.0,0.008994887,2481
2480,742.0,0.009035037,2491
2490,742.0,0.009070839,2501
2500,742.0,0.00910529,2511
2510,744.0,0.009137763,2521
2520,744.0,0.009170602,2531
2530,744.0,0.009205852,2541
2540,744.0,0.009245745,2551
2550,746.0,0.009276617,2561
2560,746.0,0.009308998,2571
2570,746.0,0.009333358,2581
2580,746.0,0.009360111,2591
2590,746.0,0.009388877,2601
2600,746.0,0.009415309,2611
2610,746.0,0.009455621,2621
2620,746.0,0.009480819,2631
2630,746.0,0.009505643,2641
2640,748.0,0.009534841,2651
2650,748.0,0.009560645,2661
2660,748.0,0.009586205,2671
2670,748.0,0.009613819,2681
2680,748.0,0.009639801,2691
2690,748.0,0.009671993,2701
2700,748.0,0.009712573,2711
2710,748.0,0.009745638,2721
2720,748.0,0.009772032,2731
2730,748.0,0.009798144,2741
2740,748.0,0.020918274,2751
2750,748.0,0.020955507,2761
2760,748.0,0.020988532,2771
2770,748.0,0.021022084,2781
2780,748.0,0.02105282,2791
2790,748.0,0.021095027,2801
2800,748.0,0.021129617,2811
2810,750.0,0.021174196,2821
2820,752.0,0.021207018,2831
2830,752.0,0.021237145,2841
2840,752.0,0.021267328,2851
2850,752.0,0.021296876,2861
2860,752.0,0.021328353,2871
2870,752.0,0.021369645,2881
2880,752.0,0.021411063,2891
2890,752.0,0.021444004,2901
2900,752.0,0.021469082,2911
2910,752.0,0.02151408,2921
2920,752.0,0.021545507,2931
2930,752.0,0.021571106,2941
2940,752.0,0.021598755,2951
2950,752.0,0.02162298,2961
2960,752.0,0.021654708,2971
2970,752.0,0.021685884,2981
2980,752.0,0.021723633,2991
2990,752.0,0.021751104,3001
3000,752.0,0.021775805,3011
