iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.103642791207,0.10393930561,0.104483634439,0.767760416667,0.765625,0.763666666667,0.0433383394121,0.047417442845,0.0392953929539,0.058716817
10,0.102835087831,0.103013262347,0.103647239699,0.7703125,0.769166666667,0.7665,0.0290620871863,0.0314685314685,0.0168421052632,0.64204427
20,0.101265363858,0.10144477566,0.101837354362,0.773333333333,0.77125,0.771166666667,0.0220224719101,0.0248667850799,0.015770609319,1.243643378
30,0.100916197986,0.10102301009,0.101444639675,0.773697916667,0.771458333333,0.770833333333,0.0216167529836,0.0231522707035,0.0115025161754,1.730482109
40,0.0994537001925,0.0996198594352,0.0998249844633,0.775885416667,0.775416666667,0.7725,0.00554656806101,0.00553505535055,0.00582665695557,2.284742334
50,0.099400888602,0.0995429078335,0.0997587686397,0.77640625,0.776041666667,0.772333333333,0.00555941626129,0.00555041628122,0.00437317784257,2.78262258
60,0.0990216631924,0.0991592214858,0.0993635708654,0.776979166667,0.7775,0.774666666667,0.00372266170312,0.00373134328358,0.00441826215022,3.334041818
70,0.0988104600831,0.0987713151439,0.0989917657571,0.777604166667,0.777708333333,0.7765,0.0028024287716,0.00187090739008,0.00297397769517,3.833443459
80,0.098646177276,0.0987767275777,0.0989038170254,0.777760416667,0.777708333333,0.776333333333,0.00280439354989,0.00187090739008,0.00297176820208,4.349658603
90,0.0986138746536,0.0987286389926,0.0988503369851,0.777864583333,0.777916666667,0.7765,0.00280570493336,0.00187265917603,0.00297397769517,4.854040786
100,0.0983421375908,0.0983946528563,0.0985236814353,0.777916666667,0.777916666667,0.776333333333,0.00327255726975,0.00187265917603,0.00297176820208,5.344295062
110,0.0982006565772,0.0982456154233,0.0983725772614,0.778020833333,0.777916666667,0.7765,0.00234082397004,0.00187265917603,0.00297397769517,5.890629706
120,0.0974878942791,0.0974424158172,0.0976809019277,0.77796875,0.7775,0.776666666667,0.00327332242226,0,0.00297619047619,6.394287473
130,0.0968192462329,0.096714264469,0.0968647667997,0.778385416667,0.778541666667,0.777666666667,0.000939187602724,0,0,6.990025133
140,0.0949585556505,0.094913125349,0.0950030184459,0.778697916667,0.778541666667,0.778666666667,0.000470477534698,0,0,7.48976715
150,0.0922529328744,0.0922946243938,0.0922321375317,0.778802083333,0.77875,0.778666666667,0,0,0,8.166633841
160,0.0919307101751,0.0920201209667,0.0918809532203,0.778802083333,0.77875,0.778666666667,0,0,0,8.662885308
170,0.091645709696,0.0917668403797,0.091657243787,0.778802083333,0.77875,0.778666666667,0,0,0,9.179171023
180,0.0910124789891,0.0911330021713,0.0910518451703,0.778802083333,0.77875,0.778666666667,0,0,0,9.678801283
190,0.0911267481769,0.0912603741124,0.0911888087858,0.778802083333,0.77875,0.778666666667,0,0,0,10.243426268
200,0.0903009054969,0.0904127191622,0.0903493296739,0.778802083333,0.77875,0.778666666667,0,0,0,10.762252254
210,0.0898684602857,0.0899065529261,0.0898420072284,0.77875,0.77875,0.778666666667,0,0,0,11.265679226
220,0.0895323503734,0.0895233908811,0.0895308866849,0.77875,0.77875,0.778666666667,0,0,0,11.758196069
230,0.089170477818,0.0892291818895,0.089210141871,0.77875,0.77875,0.778666666667,0,0,0,12.257804263
240,0.0882244090507,0.088280927865,0.0881874635417,0.77875,0.77875,0.778666666667,0,0,0,12.751076747
250,0.0875997229469,0.0876094787667,0.0874887774416,0.778802083333,0.77875,0.778833333333,0,0,0,13.245676791
260,0.0870890620462,0.0871074572281,0.086989241083,0.778802083333,0.77875,0.778833333333,0,0,0,13.73527764
270,0.0869684378124,0.0869794388504,0.0868744608097,0.778802083333,0.77875,0.778833333333,0,0,0,14.22344233
280,0.0868331317229,0.0868471659053,0.0867062445423,0.778802083333,0.77875,0.778833333333,0,0,0,14.710047755
290,0.08588369973,0.0859351995563,0.0855831606391,0.778802083333,0.77875,0.778833333333,0,0,0,15.191269935
300,0.0854851931441,0.0855645431851,0.0852343112288,0.778802083333,0.77875,0.778833333333,0,0,0,15.691246692
310,0.0853590269056,0.0854931239949,0.0851293682975,0.778802083333,0.77875,0.778833333333,0,0,0,16.178249452
320,0.085411646081,0.08556713199,0.0852340286547,0.778802083333,0.77875,0.778833333333,0,0,0,16.70295131
330,0.0852406312046,0.0854253348317,0.0849993728366,0.779114583333,0.778541666667,0.778666666667,0.00422634421226,0,0,17.203856631
340,0.0848984870952,0.0850611371646,0.0846142381888,0.77984375,0.779791666667,0.778333333333,0.0139958012596,0.0130718954248,0.00597907324365,17.687361807
350,0.0851256886333,0.0854030910987,0.0849884498096,0.780520833333,0.780625,0.779,0.0236329935125,0.0240963855422,0.0177777777778,18.183225063
360,0.0832732270188,0.0834470820514,0.0829713710769,0.780520833333,0.78125,0.778666666667,0.0267898383372,0.0295748613678,0.0177514792899,18.678133184
370,0.0832030284569,0.0833873337515,0.0828956203884,0.780416666667,0.78125,0.778666666667,0.0263279445727,0.0295748613678,0.0177514792899,19.165170253
380,0.0831203065128,0.0832932175089,0.0827974044314,0.780416666667,0.78125,0.778666666667,0.0258780036969,0.0295748613678,0.0177514792899,19.66438156
390,0.0831173379827,0.0831957656832,0.0827510877297,0.780833333333,0.78125,0.778833333333,0.0304147465438,0.0295748613678,0.0192165558019,20.160743851
400,0.0824734666193,0.0826834286791,0.0821310549576,0.780729166667,0.78125,0.778833333333,0.0290590405904,0.0295748613678,0.0192165558019,20.641364514
410,0.0824728442107,0.0826825484224,0.0821305920483,0.780729166667,0.78125,0.778833333333,0.0290590405904,0.0295748613678,0.0192165558019,21.13715495
420,0.0817491709836,0.082005321257,0.0813005177019,0.78046875,0.781041666667,0.778666666667,0.0258839842847,0.0277520814061,0.0148367952522,21.626367374
430,0.0814433144451,0.0818296994012,0.0810808393076,0.788125,0.7875,0.7865,0.122519413287,0.116117850953,0.119587628866,22.118395824
440,0.0812006817855,0.0815886239143,0.0808173771773,0.788072916667,0.787708333333,0.7865,0.12324929972,0.117748917749,0.119587628866,22.609737844
450,0.0809856392704,0.0812102845245,0.0806388500971,0.786614583333,0.785625,0.7835,0.0949856417053,0.088573959256,0.0845665961945,23.100165567
460,0.0808356728353,0.0810333890851,0.0803609835975,0.786458333333,0.786041666667,0.784,0.0929203539823,0.0887311446318,0.0847457627119,23.583137536
470,0.080629302376,0.0807996865545,0.0802142285031,0.786614583333,0.78625,0.783833333333,0.0949856417053,0.0904255319149,0.0859760394644,24.084768286
480,0.0805847630188,0.0807623925235,0.0800317523244,0.78671875,0.78625,0.784333333333,0.0962259986758,0.0904255319149,0.0900140646976,24.598737381
490,0.0886719616125,0.0888395443104,0.0879858881448,0.778802083333,0.77875,0.778833333333,0,0,0,25.108909834
500,0.0802857043523,0.080637580657,0.0798534416527,0.786614583333,0.78625,0.783333333333,0.0981730134273,0.0920353982301,0.083215796897,25.598678508
510,0.0798722134424,0.0802866685131,0.079402986111,0.78765625,0.786666666667,0.786,0.113117250381,0.101754385965,0.108333333333,26.095798829
520,0.0796742512327,0.0802971853072,0.0789690811876,0.798229166667,0.795416666667,0.797166666667,0.265174506829,0.270430906389,0.260182370821,26.590926645
530,0.0795449997484,0.0801209380605,0.0788900390831,0.798125,0.793958333333,0.796666666667,0.261432926829,0.26577579807,0.258809234508,27.088216511
540,0.0795286638856,0.0801027184148,0.078874268017,0.798229166667,0.794166666667,0.796666666667,0.258706467662,0.264880952381,0.256097560976,27.58138412
550,0.0794214397899,0.0800016529338,0.0788368046014,0.797864583333,0.794166666667,0.797666666667,0.262587877636,0.26706231454,0.266021765417,28.079509523
560,0.0792234797879,0.0798243332246,0.0786401475283,0.797708333333,0.794583333333,0.797833333333,0.255938697318,0.264179104478,0.262613981763,28.511154656
570,0.0787314596227,0.0795220289743,0.0780328196249,0.795833333333,0.792916666667,0.7945,0.225908372828,0.222222222222,0.220113851992,29.016166939
580,0.0786851845101,0.0794415476351,0.0779628809393,0.79515625,0.793541666667,0.7945,0.22010707912,0.222745098039,0.218135700698,29.549531457
590,0.0786392910883,0.0793685712122,0.0778307907855,0.796458333333,0.793958333333,0.795666666667,0.242341993021,0.245614035088,0.23566084788,30.09069652
600,0.078571001599,0.0793247845171,0.0778398887013,0.796041666667,0.7925,0.794833333333,0.23275862069,0.235023041475,0.228213166144,30.622194584
610,0.0784711174782,0.0791136940172,0.0777320071159,0.7965625,0.793958333333,0.796,0.238002341007,0.24214559387,0.236907730673,31.141081432
620,0.0785184789465,0.0792418088654,0.0779452387715,0.796979166667,0.792916666667,0.796166666667,0.244573643411,0.24237804878,0.24552745219,31.634662178
630,0.0782984152859,0.0791137085214,0.0777582910617,0.797291666667,0.793541666667,0.795833333333,0.244858362437,0.250944822373,0.245224892175,32.122103061
640,0.0781775652138,0.0789168804372,0.077701272958,0.796979166667,0.793333333333,0.795666666667,0.241339042429,0.243902439024,0.243209876543,32.621214885
