iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.327110995801,0.333142740391,0.323414904568,0.3170189099,0.306666666667,0.32206405694,0.421300659755,0.411320754717,0.427067669173,3.37683407
10,0.327591645157,0.333474710452,0.324142460248,0.316462736374,0.305555555556,0.320284697509,0.420556341348,0.409820585458,0.424698795181,39.155616887
20,0.328616123019,0.334350677879,0.325656242358,0.316184649611,0.307777777778,0.317615658363,0.419362455726,0.41059602649,0.422004521477,75.079047035
30,0.328195430771,0.334101950372,0.325801752644,0.3170189099,0.308888888889,0.316725978648,0.422117647059,0.41320754717,0.421686746988,109.745801109
40,0.324413278624,0.331728005146,0.322323064146,0.322024471635,0.308888888889,0.325622775801,0.429307116105,0.416510318949,0.433482810164,144.840359489
50,0.324314185989,0.331673727155,0.322290887995,0.322024471635,0.308888888889,0.326512455516,0.429307116105,0.416510318949,0.435495898583,178.13905275
60,0.322686108798,0.329868253163,0.320241744449,0.322858731924,0.312222222222,0.333629893238,0.432003732214,0.420954162769,0.445595854922,212.934637536
70,0.321713033442,0.329321098329,0.319460208485,0.325083426029,0.313333333333,0.333629893238,0.434397576323,0.422429906542,0.444773906597,247.997889572
80,0.320684372167,0.328683913143,0.318317670637,0.328142380423,0.312222222222,0.336298932384,0.43682983683,0.419868791003,0.446587537092,284.376054864
90,0.318898984729,0.326593439825,0.316305918452,0.332869855395,0.316666666667,0.339857651246,0.44299976782,0.425770308123,0.451994091581,317.665090968
100,0.316765732256,0.324864260518,0.314405127809,0.339543937709,0.32,0.346085409253,0.451627799584,0.430167597765,0.459955914769,351.71647881
110,0.318949777528,0.326697699664,0.316286249689,0.335928809789,0.316666666667,0.343416370107,0.447222222222,0.425770308123,0.456553755523,387.151546444
120,0.314895837946,0.32295543696,0.312639575458,0.34149054505,0.324444444444,0.349644128114,0.454880294659,0.437037037037,0.464468864469,422.804533672
130,0.309668352514,0.319647874372,0.308152076826,0.35511679644,0.328888888889,0.357651245552,0.473552780931,0.444852941176,0.476811594203,459.302965103
140,0.309565857083,0.319575568558,0.308168658369,0.353448275862,0.33,0.35409252669,0.475050801535,0.448307410796,0.476945244957,496.040123802
150,0.306450821289,0.317694452723,0.306505895592,0.360122358176,0.333333333333,0.361209964413,0.48,0.450549450549,0.481213872832,532.262881599
160,0.307371382485,0.318148442617,0.307914743917,0.357897664071,0.333333333333,0.358540925267,0.477010192525,0.450549450549,0.477914554671,565.131139362
170,0.304535773658,0.315944923781,0.304960692265,0.363459399333,0.336666666667,0.364768683274,0.483412322275,0.454794520548,0.485590778098,602.261306974
180,0.302410944538,0.313587959281,0.303393102267,0.365684093437,0.344444444444,0.36743772242,0.48730051697,0.463636363636,0.491052254832,638.487262621
190,0.297963954562,0.309289036191,0.299763840118,0.37680756396,0.355555555556,0.373665480427,0.500111532456,0.476534296029,0.499288762447,673.719684976
200,0.297163583267,0.308701557748,0.29925028874,0.377641824249,0.356666666667,0.373665480427,0.501114578689,0.477908025248,0.499288762447,710.357506897
210,0.291226859654,0.302060379423,0.293980732163,0.389321468298,0.368888888889,0.38256227758,0.515231788079,0.49376114082,0.509193776521,746.670147243
220,0.285288768256,0.29587816994,0.288068621526,0.399610678532,0.383333333333,0.395017793594,0.529321996948,0.511013215859,0.524475524476,782.958283213
230,0.284645434429,0.294949165813,0.287213022061,0.401001112347,0.383333333333,0.395017793594,0.531127557684,0.511873350923,0.524475524476,819.257862621
240,0.283042094574,0.293681826449,0.286151588487,0.404060066741,0.387777777778,0.39590747331,0.534231688763,0.517090271691,0.525506638714,855.806930844
250,0.281517723867,0.292280329962,0.284757801058,0.40489432703,0.392222222222,0.396797153025,0.534984789222,0.522270742358,0.526536312849,892.557470456
260,0.278937763724,0.290280085786,0.281499604846,0.411846496107,0.396666666667,0.405693950178,0.543689320388,0.528236316247,0.536754507628,927.474890002
270,0.275409630248,0.286386700007,0.275661381161,0.420467185762,0.398888888889,0.421708185053,0.557349192863,0.535622317597,0.557823129252,964.273734673
280,0.270747226719,0.281397319393,0.270468370255,0.430200222469,0.404444444444,0.434163701068,0.567994939911,0.540308747856,0.571428571429,1000.78140254
290,0.27013480726,0.281305780652,0.270285739663,0.431868743048,0.403333333333,0.437722419929,0.570166210814,0.540633019675,0.575838926174,1037.05133769
300,0.270105965994,0.281226249267,0.270221099151,0.432146829811,0.403333333333,0.437722419929,0.570466975179,0.540633019675,0.575838926174,1073.59522854
310,0.269039382809,0.280325107619,0.269403416181,0.433815350389,0.402222222222,0.437722419929,0.572268907563,0.540170940171,0.575838926174,1110.33640546
320,0.266503041107,0.277307596665,0.266787636032,0.438264738598,0.405555555556,0.440391459075,0.579341940858,0.545454545455,0.582059800664,1146.97393843
330,0.261248056552,0.272039323063,0.26168614359,0.450500556174,0.416666666667,0.445729537367,0.591566763125,0.557708508846,0.587690271343,1181.47820751
340,0.259124713106,0.269769735816,0.259806341516,0.451890989989,0.422222222222,0.45640569395,0.592009935831,0.56155143339,0.595096090126,1217.4267387
350,0.256277792017,0.26608474588,0.257817560789,0.456618464961,0.43,0.45640569395,0.597113402062,0.56999161777,0.595632031767,1253.71006637
360,0.256276437269,0.266064669076,0.257878842692,0.456896551724,0.43,0.45640569395,0.597070352796,0.56999161777,0.595632031767,1290.00321916
370,0.254462370506,0.26386619099,0.255982223268,0.458843159066,0.432222222222,0.459964412811,0.599258649094,0.572384937238,0.599339933993,1326.51514162
